id,amount,counterparty,account,type,timestamp,label,jurisdiction,account_age_days,daily_txn_count
txn_00000,2326.84,Coastal Ventures,CLRC99560466183982,ach,2024-01-02T17:45:00,normal,FR,160,1
txn_00001,6403.89,GlobalTech Inc,MWXP86691251778528,wire,2024-01-03T18:51:00,normal,US,426,1
txn_00002,3981.03,Apex Solutions,XTKS00109439690784,ach,2024-01-03T10:10:00,normal,FR,2915,2
txn_00003,4438.56,GlobalTech Inc,QUOI29671756551256,internal,2024-01-01T08:14:00,normal,CA,1135,1
txn_00004,6089.93,Blue Ridge Capital,UZTO11798089324609,internal,2024-01-05T12:27:00,normal,DE,1040,1
txn_00005,155332.7,Unknown Entity LLC,UTZH24808613171274,wire,2024-01-01T15:48:00,violation,KY,5,1
txn_00006,3426.01,Sterling Industries,CKTY99650477358662,wire,2024-01-05T09:48:00,normal,AU,77,1
txn_00007,2206.24,Vanguard Services,DMAK29751613696816,ach,2024-01-05T12:38:00,normal,UK,465,1
txn_00008,1302.95,Meridian Partners,QLAL42357332214188,wire,2024-01-05T14:05:00,normal,TR,3629,1
txn_00009,604.98,Apex Solutions,TQMQ00025787298259,ach,2024-01-03T16:25:00,normal,AE,2238,1
txn_00010,553.53,Pinnacle Holdings,VQHU30165712082677,wire,2024-01-02T08:34:00,normal,CH,271,1
txn_00011,1063.42,Blue Ridge Capital,HJEV83644089268705,wire,2024-01-01T17:03:00,normal,CA,3568,1
txn_00012,391.92,GlobalTech Inc,RVZL16060715969664,wire,2024-01-05T14:06:00,normal,MX,338,1
txn_00013,13330.8,Shell Corp International,THHE72795687833918,wire,2024-01-05T23:42:00,suspicious,WS,28,1
txn_00014,1818.61,Meridian Partners,IOHC78108013267736,wire,2024-01-01T09:38:00,normal,AU,3522,1
txn_00015,9299.97,Sterling Industries,QSKD71870262174596,internal,2024-01-03T13:15:00,normal,US,2722,1
txn_00016,515.73,Pacific Trading Co,EHMW23166587603669,ach,2024-01-02T16:23:00,normal,CA,2336,1
txn_00017,22655.05,Unnamed Trust,COFW71551884422583,wire,2024-01-06T05:47:00,suspicious,VU,27,1
txn_00018,15000.0,Delta Systems,HEWK36729466711684,wire,2024-01-03T17:10:00,normal,FR,3427,1
txn_00019,1365.41,Coastal Ventures,SDIY85807836134074,wire,2024-01-01T14:22:00,normal,ZA,3290,1
txn_00020,3773.43,Eagle Partners,QTQG64037613791805,wire,2024-01-01T09:54:00,normal,DE,3255,1
txn_00021,844.58,Acme Corp,BFZJ99471746488771,ach,2024-01-05T13:21:00,normal,JP,3570,1
txn_00022,3638.52,Vanguard Services,JYZH95339421047095,internal,2024-01-05T11:43:00,normal,FR,2124,1
txn_00023,1300.68,Vanguard Services,BTEV75571928565431,internal,2024-01-05T10:08:00,normal,JP,1702,1
txn_00024,370927.18,Cayman Investments Ltd,UVUM56101438889937,wire,2024-01-05T05:36:00,violation,VG,18,1
txn_00025,137.4,Horizon Group,UDAX43321819600133,ach,2024-01-03T14:05:00,normal,AU,3281,1
txn_00026,12544.19,Coastal Ventures,QWIN77378263982146,ach,2024-01-01T08:49:00,normal,CA,634,2
txn_00027,3737.13,Delta Systems,IXSY89413435240824,ach,2024-01-05T12:27:00,normal,CA,2205,1
txn_00028,10000.0,Cayman Investments Ltd,XMLN52341389994043,wire,2024-01-06T22:08:00,suspicious,PA,28,1
txn_00029,910.17,Acme Corp,BXKB09788208121913,ach,2024-01-04T18:30:00,normal,CA,3183,1
txn_00030,500.59,Summit Capital,OUAB76617711592124,ach,2024-01-04T08:46:00,normal,DE,928,1
txn_00031,313649.45,Offshore Holdings Ltd,YHUI87347143455812,wire,2024-01-05T12:36:00,violation,WS,3,1
txn_00032,3942.4,Meridian Partners,VMFE44472126464715,internal,2024-01-03T14:53:00,normal,CA,1412,1
txn_00033,473.72,Sterling Industries,LGVI19283276483503,internal,2024-01-02T08:29:00,normal,US,1042,1
txn_00034,1783.81,Pacific Trading Co,LZIK49480831367837,wire,2024-01-02T13:06:00,normal,TR,2388,1
txn_00035,4340.43,Apex Solutions,XUXP72522872808010,wire,2024-01-01T16:27:00,normal,FR,312,1
txn_00036,3891.45,Eagle Partners,XTKS00109439690784,ach,2024-01-03T10:39:00,normal,FR,2915,2
txn_00037,12310.0,Anonymous Trading BVI,AXFP86814473947312,ach,2024-01-07T03:11:00,suspicious,BZ,44,1
txn_00038,12612.84,Unknown Entity LLC,LVXW86926179640537,wire,2024-01-04T22:28:00,suspicious,WS,52,1
txn_00039,1545.35,Vanguard Services,QMNT29662782827422,internal,2024-01-01T16:46:00,normal,JP,1888,1
txn_00040,131.36,Acme Corp,WWMP63201632870831,wire,2024-01-02T08:19:00,normal,AE,3440,1
txn_00041,3446.12,Pinnacle Holdings,QKCM12275304637454,wire,2024-01-01T14:09:00,normal,JP,240,1
txn_00042,328.07,GlobalTech Inc,TUSR56984789611836,wire,2024-01-04T08:19:00,normal,JP,1843,1
txn_00043,304.87,Pacific Trading Co,TBJV21020275884252,wire,2024-01-03T13:45:00,normal,CA,2462,1
txn_00044,4923.6,GlobalTech Inc,JCIG84249818299229,ach,2024-01-02T08:04:00,normal,UK,950,1
txn_00045,587.14,Sterling Industries,OHNK76615654527111,ach,2024-01-03T12:38:00,normal,CA,2479,1
txn_00046,15000.0,Sterling Industries,HFZZ26025634216073,wire,2024-01-04T16:58:00,normal,AU,3155,1
txn_00047,1320.34,Nordic Ventures,RXGB46990139837354,ach,2024-01-03T13:16:00,normal,AU,2743,1
txn_00048,10989.71,Sterling Industries,BPSF52419138000307,wire,2024-01-01T10:13:00,normal,JP,3128,1
txn_00049,10000.0,Offshore Holdings Ltd,EHMW23166587603669,wire,2024-01-06T05:45:00,suspicious,PA,12,1
txn_00050,465171.95,Panama Global SA,QWIN77378263982146,wire,2024-01-01T14:41:00,violation,PA,30,2
txn_00051,15000.0,Pinnacle Holdings,HEWK36729466711684,internal,2024-01-04T09:35:00,normal,FR,3427,1
txn_00052,10000.0,Panama Global SA,ZTHY86774964990913,ach,2024-01-07T04:53:00,suspicious,VU,58,1
txn_00053,147.34,Eagle Partners,SXSA45301742684145,ach,2024-01-01T13:20:00,normal,DE,1598,1
txn_00054,416957.46,Shell Corp International,YMQQ62392407581814,wire,2024-01-02T20:31:00,violation,KY,17,1
txn_00055,1204.52,GlobalTech Inc,JILQ77175355609320,wire,2024-01-04T15:55:00,normal,AU,1327,1
txn_00056,12104.37,Summit Capital,QSKD71870262174596,wire,2024-01-01T14:28:00,normal,US,2722,1
txn_00057,10000.0,Shell Corp International,OUAB76617711592124,wire,2024-01-06T23:15:00,suspicious,BZ,11,1
txn_00058,10913.99,Anonymous Trading BVI,HGTQ45461567933410,ach,2024-01-05T22:10:00,suspicious,KY,39,1
txn_00059,376125.4,Cayman Investments Ltd,CLRC99560466183982,wire,2024-01-07T14:19:00,violation,PA,28,1
txn_00060,1145.68,Eagle Partners,CMQO84991216558523,ach,2024-01-01T11:58:00,normal,CA,63,1
txn_00061,2047.41,Apex Solutions,LMEF08635365419518,wire,2024-01-04T08:02:00,normal,FR,3463,1
txn_00062,60414.47,Unnamed Trust,HFZZ26025634216073,ach,2024-01-07T03:33:00,suspicious,BZ,33,2
txn_00063,218056.58,Unknown Entity LLC,CMQO84991216558523,wire,2024-01-07T10:07:00,violation,BZ,5,1
txn_00064,444056.24,Anonymous Trading BVI,ZMQJ86661889241418,wire,2024-01-06T23:25:00,violation,VU,3,1
txn_00065,2156.5,Nordic Ventures,ACAI32898614341036,wire,2024-01-05T08:56:00,normal,TR,473,1
txn_00066,494.4,Pinnacle Holdings,IHXU79937124065965,internal,2024-01-05T13:26:00,normal,UK,2231,1
txn_00067,215.53,Blue Ridge Capital,ZHKM46519398280737,internal,2024-01-03T14:03:00,normal,TR,3533,1
txn_00068,479604.32,Offshore Holdings Ltd,ZTHY86774964990913,wire,2024-01-01T14:42:00,violation,PA,2,1
txn_00069,645.91,Sterling Industries,GJGY24451076226838,ach,2024-01-05T11:00:00,normal,MX,1375,1
txn_00070,1196.49,Horizon Group,EHMW23166587603669,wire,2024-01-03T12:50:00,normal,CA,2336,1
txn_00071,1393.03,Pacific Trading Co,ESVM12018366752545,internal,2024-01-05T14:02:00,normal,US,1866,1
txn_00072,124330.16,Unknown Entity LLC,VMFE44472126464715,wire,2024-01-07T15:25:00,violation,BZ,16,1
txn_00073,10000.0,Unknown Entity LLC,RITR25449481260422,ach,2024-01-07T23:06:00,suspicious,WS,84,1
txn_00074,3044.28,Eagle Partners,XYIX10564814917785,ach,2024-01-03T11:09:00,normal,CH,1310,1
